Year,Death_Cause_Name,113_Cause_Name,State,Deaths,Age-Adjusted Death Rate
2017,Stroke,Cerebrovascular diseases (I60-I69),Georgia,4399,43.5
2017,Stroke,Cerebrovascular diseases (I60-I69),Hawaii,764,37.5
2017,Stroke,Cerebrovascular diseases (I60-I69),Idaho,726,38.5
2017,Stroke,Cerebrovascular diseases (I60-I69),Illinois,6020,38.9
2017,Stroke,Cerebrovascular diseases (I60-I69),Indiana,3150,40.2
2017,Stroke,Cerebrovascular diseases (I60-I69),Iowa,1416,32.8
2017,Stroke,Cerebrovascular diseases (I60-I69),Kansas,1355,37.7
2017,Stroke,Cerebrovascular diseases (I60-I69),Kentucky,2050,39.4
2017,Stroke,Cerebrovascular diseases (I60-I69),Louisiana,2460,47.4
2017,Stroke,Cerebrovascular diseases (I60-I69),Maine,736,37.5
2017,Stroke,Cerebrovascular diseases (I60-I69),Maryland,2820,40.2
2017,Stroke,Cerebrovascular diseases (I60-I69),Massachusetts,2367,26.5
2017,Stroke,Cerebrovascular diseases (I60-I69),Michigan,5002,39.3
2017,Stroke,Cerebrovascular diseases (I60-I69),Minnesota,2250,32.6
2017,Stroke,Cerebrovascular diseases (I60-I69),Mississippi,1723,51.1
2017,Stroke,Cerebrovascular diseases (I60-I69),Missouri,3159,41
2017,Stroke,Cerebrovascular diseases (I60-I69),Montana,487,35.6
2017,Stroke,Cerebrovascular diseases (I60-I69),Nebraska,760,31.5
2017,Stroke,Cerebrovascular diseases (I60-I69),Nevada,1137,35.9
2017,Stroke,Cerebrovascular diseases (I60-I69),New Hampshire,514,28.9
2017,Stroke,Cerebrovascular diseases (I60-I69),New Jersey,3474,30.2
2017,Stroke,Cerebrovascular diseases (I60-I69),New Mexico,878,34.8
2017,Stroke,Cerebrovascular diseases (I60-I69),New York,6264,24.6
2017,Stroke,Cerebrovascular diseases (I60-I69),North Carolina,5098,43
2017,Stroke,Cerebrovascular diseases (I60-I69),North Dakota,337,35.4
2017,Stroke,Cerebrovascular diseases (I60-I69),Ohio,6425,42.8
2017,Stroke,Cerebrovascular diseases (I60-I69),Oklahoma,1947,43.3
2017,Stroke,Cerebrovascular diseases (I60-I69),Oregon,2066,39.9
2017,Stroke,Cerebrovascular diseases (I60-I69),Pennsylvania,6700,36.5
2017,Stroke,Cerebrovascular diseases (I60-I69),Rhode Island,425,29.4
2017,Stroke,Cerebrovascular diseases (I60-I69),South Carolina,2691,44.9
2017,Stroke,Cerebrovascular diseases (I60-I69),South Dakota,414,36.7
2017,Stroke,Cerebrovascular diseases (I60-I69),Tennessee,3519,45
2017,Stroke,Cerebrovascular diseases (I60-I69),Texas,10790,41.3
2017,Stroke,Cerebrovascular diseases (I60-I69),Utah,888,36.2
2017,Stroke,Cerebrovascular diseases (I60-I69),Vermont,249,28.9
2017,Stroke,Cerebrovascular diseases (I60-I69),Virginia,3555,37.5
2017,Stroke,Cerebrovascular diseases (I60-I69),Washington,3028,36.9
2017,Stroke,Cerebrovascular diseases (I60-I69),West Virginia,1058,41.8
2017,Stroke,Cerebrovascular diseases (I60-I69),Wisconsin,2513,33.5
2017,Stroke,Cerebrovascular diseases (I60-I69),Wyoming,190,28.4
2017,CLRD,Chronic lower respiratory diseases (J40-J47),United States,160201,40.9
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Alabama,3484,57.8
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Alaska,204,35.9
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Arizona,3802,42.7
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Arkansas,2517,66.7
2017,CLRD,Chronic lower respiratory diseases (J40-J47),California,13881,32.2
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Colorado,2604,45.6
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Connecticut,1471,30.4
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Delaware,526,40.8
2017,CLRD,Chronic lower respiratory diseases (J40-J47),District of Columbia,137,19.6
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Florida,12619,39
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Georgia,4866,46.2
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Hawaii,378,19
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Idaho,925,47.3
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Illinois,5732,37.6
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Indiana,4375,55.2
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Iowa,1939,46.5
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Kansas,1832,51.7
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Kentucky,3480,64.5
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Louisiana,2467,46.6
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Maine,982,48.7
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Maryland,2079,29.9
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Massachusetts,2842,32.5
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Michigan,5688,44.3
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Minnesota,2464,36.3
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Mississippi,2037,58.3
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Missouri,3940,50.7
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Montana,752,53.5
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Nebraska,1224,52.6
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Nevada,1633,50
2017,CLRD,Chronic lower respiratory diseases (J40-J47),New Hampshire,755,43
2017,CLRD,Chronic lower respiratory diseases (J40-J47),New Jersey,3227,28.6
2017,CLRD,Chronic lower respiratory diseases (J40-J47),New Mexico,1143,44.2
2017,CLRD,Chronic lower respiratory diseases (J40-J47),New York,7258,28.9
2017,CLRD,Chronic lower respiratory diseases (J40-J47),North Carolina,5540,45.3
2017,CLRD,Chronic lower respiratory diseases (J40-J47),North Dakota,358,38.3
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Ohio,7312,48.5
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Oklahoma,3035,65.9
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Oregon,2088,39.7
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Pennsylvania,6667,37.1
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Rhode Island,521,36.2
2017,CLRD,Chronic lower respiratory diseases (J40-J47),South Carolina,2983,47.9
2017,CLRD,Chronic lower respiratory diseases (J40-J47),South Dakota,505,45.3
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Tennessee,4657,57.4
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Texas,10650,40.5
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Utah,826,32.1
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Vermont,375,43
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Virginia,3363,34.9
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Washington,3177,38.1
2017,CLRD,Chronic lower respiratory diseases (J40-J47),West Virginia,1681,64.3
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Wisconsin,2834,38.3
2017,CLRD,Chronic lower respiratory diseases (J40-J47),Wyoming,366,53.8
2017,Diabetes,Diabetes mellitus (E10-E14),United States,83564,21.5
2017,Diabetes,Diabetes mellitus (E10-E14),Alabama,1173,19.8
2017,Diabetes,Diabetes mellitus (E10-E14),Alaska,130,19.3
2017,Diabetes,Diabetes mellitus (E10-E14),Arizona,2054,23.7
2017,Diabetes,Diabetes mellitus (E10-E14),Arkansas,1180,32.4
2017,Diabetes,Diabetes mellitus (E10-E14),California,9595,22.1
2017,Diabetes,Diabetes mellitus (E10-E14),Colorado,1017,17.2
2017,Diabetes,Diabetes mellitus (E10-E14),Connecticut,694,14.5
2017,Diabetes,Diabetes mellitus (E10-E14),Delaware,244,19.1
2017,Diabetes,Diabetes mellitus (E10-E14),District of Columbia,138,20.1
2017,Diabetes,Diabetes mellitus (E10-E14),Florida,6172,20.2
2017,Diabetes,Diabetes mellitus (E10-E14),Georgia,2348,21.5
2017,Diabetes,Diabetes mellitus (E10-E14),Hawaii,299,15.9
2017,Diabetes,Diabetes mellitus (E10-E14),Idaho,394,20.3
2017,Diabetes,Diabetes mellitus (E10-E14),Illinois,2927,19.2
2017,Diabetes,Diabetes mellitus (E10-E14),Indiana,2096,26.6
2017,Diabetes,Diabetes mellitus (E10-E14),Iowa,918,22.8
2017,Diabetes,Diabetes mellitus (E10-E14),Kansas,874,25.2
2017,Diabetes,Diabetes mellitus (E10-E14),Kentucky,1474,27.7
2017,Diabetes,Diabetes mellitus (E10-E14),Louisiana,1272,23.9
2017,Diabetes,Diabetes mellitus (E10-E14),Maine,395,19.8
2017,Diabetes,Diabetes mellitus (E10-E14),Maryland,1439,20.3
2017,Diabetes,Diabetes mellitus (E10-E14),Massachusetts,1321,15.1
2017,Diabetes,Diabetes mellitus (E10-E14),Michigan,2798,22.1
2017,Diabetes,Diabetes mellitus (E10-E14),Minnesota,1312,19.3
2017,Diabetes,Diabetes mellitus (E10-E14),Mississippi,1164,33.3
2017,Diabetes,Diabetes mellitus (E10-E14),Missouri,1605,21
2017,Diabetes,Diabetes mellitus (E10-E14),Montana,292,21.6
2017,Diabetes,Diabetes mellitus (E10-E14),Nebraska,575,25
2017,Diabetes,Diabetes mellitus (E10-E14),Nevada,609,18.3
2017,Diabetes,Diabetes mellitus (E10-E14),New Hampshire,340,19.2
2017,Diabetes,Diabetes mellitus (E10-E14),New Jersey,1908,16.9
2017,Diabetes,Diabetes mellitus (E10-E14),New Mexico,673,26.5
2017,Diabetes,Diabetes mellitus (E10-E14),New York,4176,16.8
2017,Diabetes,Diabetes mellitus (E10-E14),North Carolina,2903,23.6
2017,Diabetes,Diabetes mellitus (E10-E14),North Dakota,194,21.8
2017,Diabetes,Diabetes mellitus (E10-E14),Ohio,3740,25.2
2017,Diabetes,Diabetes mellitus (E10-E14),Oklahoma,1398,30.6
2017,Diabetes,Diabetes mellitus (E10-E14),Oregon,1243,23.9
2017,Diabetes,Diabetes mellitus (E10-E14),Pennsylvania,3704,21.1
2017,Diabetes,Diabetes mellitus (E10-E14),Rhode Island,275,18.8
2017,Diabetes,Diabetes mellitus (E10-E14),South Carolina,1535,24.5
2017,Diabetes,Diabetes mellitus (E10-E14),South Dakota,263,24.9
2017,Diabetes,Diabetes mellitus (E10-E14),Tennessee,1915,24
2017,Diabetes,Diabetes mellitus (E10-E14),Texas,5832,21.2
2017,Diabetes,Diabetes mellitus (E10-E14),Utah,596,22.9
2017,Diabetes,Diabetes mellitus (E10-E14),Vermont,163,19.2
2017,Diabetes,Diabetes mellitus (E10-E14),Virginia,1967,20.1
2017,Diabetes,Diabetes mellitus (E10-E14),Washington,1812,21.6
2017,Diabetes,Diabetes mellitus (E10-E14),West Virginia,864,34
2017,Diabetes,Diabetes mellitus (E10-E14),Wisconsin,1433,19.4
2017,Diabetes,Diabetes mellitus (E10-E14),Wyoming,121,18.1
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",United States,647457,165
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Alabama,13110,223.2
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Alaska,814,135
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Arizona,12398,141.9
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Arkansas,8270,223.8
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",California,62797,142.9
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Colorado,7060,122.7
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Connecticut,7138,141.6
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Delaware,1990,158.4
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",District of Columbia,1284,189.8
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Florida,46440,145.8
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Georgia,18389,175.8
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Hawaii,2575,129.8
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Idaho,3084,162.5
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Illinois,25394,163.3
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Indiana,14445,183.2
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Iowa,7180,167.4
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Kansas,5723,158
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Kentucky,10343,195.9
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Louisiana,11260,214.4
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Maine,2844,143.5
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Maryland,11653,164.5
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Massachusetts,12140,134.7
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Michigan,25187,196.1
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Minnesota,8230,119.1
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Mississippi,7944,231.6
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Missouri,14820,191.1
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Montana,2164,155
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Nebraska,3581,149.3
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Nevada,6417,199.3
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",New Hampshire,2721,149.7
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",New Jersey,18840,162.3
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",New Mexico,3896,151.4
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",New York,44092,171.2
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",North Carolina,18808,156.5
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",North Dakota,1326,137.8
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Ohio,28008,186.2
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Oklahoma,10772,237.2
2017,Heart disease,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Oregon,6942,134
